date,Energy Consumption Factor,Temperature
2024-01-01 00:00:00,1.13291752,-2.2
2024-01-01 01:00:00,1.14612,-2.0
2024-01-01 02:00:00,1.15487541,-1.9
2024-01-01 03:00:00,1.15925487,-1.7
2024-01-01 04:00:00,1.16796625,-1.5
2024-01-01 05:00:00,1.17010041,-1.9
2024-01-01 06:00:00,1.17443241,-1.9
2024-01-01 07:00:00,1.1852376800000002,-1.8
2024-01-01 08:00:00,1.19812568,-1.8
2024-01-01 09:00:00,1.20240568,-1.8
2024-01-01 10:00:00,1.21306041,-1.9
2024-01-01 11:00:00,1.19809139,-2.1
2024-01-01 12:00:00,1.20662952,-2.2
2024-01-01 13:00:00,1.20664339,-2.1
2024-01-01 14:00:00,1.21082424,-2.6
2024-01-01 15:00:00,1.2107804800000002,-2.8
2024-01-01 16:00:00,1.21503648,-2.8
2024-01-01 17:00:00,1.2234460900000002,-3.1
2024-01-01 18:00:00,1.23398132,-3.2
2024-01-01 19:00:00,1.24239732,-3.2
2024-01-01 20:00:00,1.2466230900000002,-3.1
2024-01-01 21:00:00,1.24029632,-3.2
2024-01-01 22:00:00,1.24236563,-3.3
2024-01-01 23:00:00,1.23567512,-4.2
2024-01-02 00:00:00,1.23134816,-4.4
2024-01-02 01:00:00,1.2162750800000002,-4.8
2024-01-02 02:00:00,1.20128751,-4.9
2024-01-02 03:00:00,1.18138484,-5.6
2024-01-02 04:00:00,1.16868023,-5.3
2024-01-02 05:00:00,1.15781523,-5.3
2024-01-02 06:00:00,1.14939951,-4.9
2024-01-02 07:00:00,1.13821492,-5.2
2024-01-02 08:00:00,1.12924636,-5.4
2024-01-02 09:00:00,1.12041436,-5.4
2024-01-02 10:00:00,1.1112730700000002,-5.7
2024-01-02 11:00:00,1.10479225,-5.5
2024-01-02 12:00:00,1.10042536,-5.4
2024-01-02 13:00:00,1.10024384,-5.6
2024-01-02 14:00:00,1.10217521,-5.9
2024-01-02 15:00:00,1.097609,-6.0
2024-01-02 16:00:00,1.09771521,-5.9
2024-01-02 17:00:00,1.09781788,-5.8
2024-01-02 18:00:00,1.10014807,-5.7
2024-01-02 19:00:00,1.10014807,-5.7
2024-01-02 20:00:00,1.1200378800000002,-5.8
2024-01-02 21:00:00,1.14600572,-6.2
2024-01-02 22:00:00,1.18482756,-6.4
2024-01-02 23:00:00,1.2043527200000002,-6.2
2024-01-03 00:00:00,1.20636853,-6.3
2024-01-03 01:00:00,1.21675775,-6.5
2024-01-03 02:00:00,1.2208690400000002,-6.6
2024-01-03 03:00:00,1.21861737,-6.7
2024-01-03 04:00:00,1.22059968,-6.8
2024-01-03 05:00:00,1.21833991,-6.9
2024-01-03 06:00:00,1.22045891,-6.9
2024-01-03 07:00:00,1.22257591,-6.9
2024-01-03 08:00:00,1.22680391,-6.9
2024-01-03 09:00:00,1.23116468,-6.8
2024-01-03 10:00:00,1.25214468,-6.8
2024-01-03 11:00:00,1.2578115200000002,-7.2
2024-01-03 12:00:00,1.268499,-7.0
2024-01-03 13:00:00,1.2644959100000002,-6.9
2024-01-03 14:00:00,1.26819652,-7.2
2024-01-03 15:00:00,1.26671168,-6.8
2024-01-03 16:00:00,1.26477337,-6.7
2024-01-03 17:00:00,1.26723456,-6.4
2024-01-03 18:00:00,1.27575272,-6.2
2024-01-03 19:00:00,1.2818245300000002,-6.3
2024-01-03 20:00:00,1.28822619,-6.1
2024-01-03 21:00:00,1.29264888,-5.8
2024-01-03 22:00:00,1.2948928400000002,-5.6
2024-01-03 23:00:00,1.29703225,-5.5
2024-01-04 00:00:00,1.3029730700000002,-5.7
2024-01-04 01:00:00,1.30843553,-6.3
2024-01-04 02:00:00,1.3079283700000002,-6.7
2024-01-04 03:00:00,1.31185568,-6.8
2024-01-04 04:00:00,1.32048256,-6.4
2024-01-04 05:00:00,1.33004468,-6.8
2024-01-04 06:00:00,1.34117276,-7.4
2024-01-04 07:00:00,1.33081024,-7.6
2024-01-04 08:00:00,1.305816,-8.0
2024-01-04 09:00:00,1.29233544,-8.6
2024-01-04 10:00:00,1.27544928,-8.8
2024-01-04 11:00:00,1.25865431,-8.9
2024-01-04 12:00:00,1.24541312,-9.2
2024-01-04 13:00:00,1.2356972700000002,-9.7
2024-01-04 14:00:00,1.2258039200000002,-10.2
2024-01-04 15:00:00,1.2191617300000002,-10.3
2024-01-04 16:00:00,1.21313192,-10.2
2024-01-04 17:00:00,1.21433208,-9.8
2024-01-04 18:00:00,1.21009208,-9.8
2024-01-04 19:00:00,1.20980101,-9.9
2024-01-04 20:00:00,1.209504,-10.0
2024-01-04 21:00:00,1.21149357,-10.7
2024-01-04 22:00:00,1.21249536,-10.4
2024-01-04 23:00:00,1.2116250000000002,-10.0
2024-01-05 00:00:00,1.21493373,-10.3
2024-01-05 01:00:00,1.22062375,-10.5
2024-01-05 02:00:00,1.22127273,-10.3
2024-01-05 03:00:00,1.220089,-10.0
2024-01-05 04:00:00,1.22415643,-9.3
2024-01-05 05:00:00,1.22862912,-9.2
2024-01-05 06:00:00,1.22888029,-9.1
2024-01-05 07:00:00,1.24253525,-9.5
2024-01-05 08:00:00,1.24644873,-10.3
2024-01-05 09:00:00,1.25955299,-10.1
2024-01-05 10:00:00,1.26872408,-9.8
2024-01-05 11:00:00,1.27462201,-9.9
2024-01-05 12:00:00,1.27781025,-9.5
2024-01-05 13:00:00,1.28476212,-9.2
2024-01-05 14:00:00,1.28655643,-9.3
2024-01-05 15:00:00,1.29132908,-9.8
2024-01-05 16:00:00,1.29389773,-10.3
2024-01-05 17:00:00,1.29222788,-10.8
2024-01-05 18:00:00,1.29891972,-11.2
2024-01-05 19:00:00,1.31030956,-11.4
2024-01-05 20:00:00,1.31314487,-11.7
2024-01-05 21:00:00,1.31346039,-12.1
2024-01-05 22:00:00,1.319929,-12.0
2024-01-05 23:00:00,1.31675868,-11.8
2024-01-06 00:00:00,1.31556704,-11.6
2024-01-06 01:00:00,1.32601225,-11.5
2024-01-06 02:00:00,1.33240856,-11.4
2024-01-06 03:00:00,1.329914,-11.0
2024-01-06 04:00:00,1.31926584,-10.6
2024-01-06 05:00:00,1.29797373,-10.3
2024-01-06 06:00:00,1.28916475,-10.5
2024-01-06 07:00:00,1.28162173,-10.3
2024-01-06 08:00:00,1.27256101,-9.9
2024-01-06 09:00:00,1.272264,-10.0
2024-01-06 10:00:00,1.2769720800000002,-9.8
2024-01-06 11:00:00,1.2744738400000002,-10.6
2024-01-06 12:00:00,1.27891975,-10.5
2024-01-06 13:00:00,1.2765308400000002,-10.6
2024-01-06 14:00:00,1.2768196900000002,-11.1
2024-01-06 15:00:00,1.2777335600000002,-11.4
2024-01-06 16:00:00,1.27156856,-11.4
2024-01-06 17:00:00,1.27027572,-11.2
2024-01-06 18:00:00,1.27242487,-11.7
2024-01-06 19:00:00,1.27036787,-11.7
2024-01-06 20:00:00,1.27483339,-12.1
2024-01-06 21:00:00,1.268526,-13.0
2024-01-06 22:00:00,1.26749632,-13.2
2024-01-06 23:00:00,1.26285763,-13.3
2024-01-07 00:00:00,1.25926432,-13.2
2024-01-07 01:00:00,1.2515190900000002,-13.1
2024-01-07 02:00:00,1.24824975,-12.5
2024-01-07 03:00:00,1.24469241,-11.9
2024-01-07 04:00:00,1.23173311,-12.9
2024-01-07 05:00:00,1.22444009,-13.1
2024-01-07 06:00:00,1.214446,-13.0
2024-01-07 07:00:00,1.20227711,-12.9
2024-01-07 08:00:00,1.19438132,-13.2
2024-01-07 09:00:00,1.193286,-13.0
2024-01-07 10:00:00,1.18320963,-13.3
2024-01-07 11:00:00,1.189456,-12.0
2024-01-07 12:00:00,1.19235057,-10.7
2024-01-07 13:00:00,1.1912153600000002,-10.4
2024-01-07 14:00:00,1.19062201,-9.9
2024-01-07 15:00:00,1.18746725,-9.5
2024-01-07 16:00:00,1.18532225,-9.5
2024-01-07 17:00:00,1.17898792,-10.2
2024-01-07 18:00:00,1.17338584,-10.6
2024-01-07 19:00:00,1.171986,-11.0
2024-01-07 20:00:00,1.169831,-11.0
2024-01-07 21:00:00,1.16730769,-11.1
2024-01-07 22:00:00,1.16657457,-10.7
2024-01-07 23:00:00,1.16789773,-10.3
2024-01-08 00:00:00,1.16541536,-10.4
2024-01-08 01:00:00,1.15892036,-10.4
2024-01-08 02:00:00,1.15892036,-10.4
2024-01-08 03:00:00,1.15207975,-10.5
2024-01-08 04:00:00,1.1470535700000002,-10.7
2024-01-08 05:00:00,1.13579188,-10.8
2024-01-08 06:00:00,1.1328900000000002,-11.0
2024-01-08 07:00:00,1.12958003,-11.3
2024-01-08 08:00:00,1.12374769,-11.1
2024-01-08 09:00:00,1.11449884,-10.6
2024-01-08 10:00:00,1.11007301,-9.9
2024-01-08 11:00:00,1.11224029,-9.1
2024-01-08 12:00:00,1.11405813,-8.3
2024-01-08 13:00:00,1.11204732,-8.2
2024-01-08 14:00:00,1.11405813,-8.3
2024-01-08 15:00:00,1.11562844,-8.6
2024-01-08 16:00:00,1.12004844,-8.6
2024-01-08 17:00:00,1.12530732,-8.2
2024-01-08 18:00:00,1.12827848,-7.8
2024-01-08 19:00:00,1.12643124,-7.6
2024-01-08 20:00:00,1.1223567600000002,-7.4
2024-01-08 21:00:00,1.12326468,-6.8
2024-01-08 22:00:00,1.12794604,-6.6
2024-01-08 23:00:00,1.1323500400000002,-6.6
2024-01-09 00:00:00,1.13480256,-6.4
2024-01-09 01:00:00,1.13126784,-5.6
2024-01-09 02:00:00,1.12770475,-4.5
2024-01-09 03:00:00,1.12594244,-3.6
2024-01-09 04:00:00,1.12616511,-2.9
2024-01-09 05:00:00,1.12630252,-2.2
2024-01-09 06:00:00,1.121909,-2.0
2024-01-09 07:00:00,1.1197074100000002,-1.9
2024-01-09 08:00:00,1.11966952,-2.2
2024-01-09 09:00:00,1.11968339,-2.1
2024-01-09 10:00:00,1.1197176800000002,-1.8
2024-01-09 11:00:00,1.11973504,-1.6
2024-01-09 12:00:00,1.11753903,-1.3
2024-01-09 13:00:00,1.11310303,-1.3
2024-01-09 14:00:00,1.11752004,-1.6
2024-01-09 15:00:00,1.1197074100000002,-1.9
2024-01-09 16:00:00,1.12416625,-1.5
2024-01-09 17:00:00,1.13300672,-1.2
2024-01-09 18:00:00,1.141806,-1.0
2024-01-09 19:00:00,1.14619784,-0.6
2024-01-09 20:00:00,1.15494275,-0.5
2024-01-09 21:00:00,1.17016892,-0.2
2024-01-09 22:00:00,1.18313371,-0.9
2024-01-09 23:00:00,1.18744684,-0.6
2024-01-10 00:00:00,1.18959,-1.0
2024-01-10 01:00:00,1.19389475,-0.5
2024-01-10 02:00:00,1.19389384,-0.6
2024-01-10 03:00:00,1.19389475,-0.5
2024-01-10 04:00:00,1.1938957300000002,-0.3
2024-01-10 05:00:00,1.1852908800000002,-0.8
2024-01-10 06:00:00,1.17233475,-0.5
2024-01-10 07:00:00,1.15057257,-0.7
2024-01-10 08:00:00,1.148379,-1.0
2024-01-10 09:00:00,1.14400873,-0.3
2024-01-10 10:00:00,1.13302616,0.6
2024-01-10 11:00:00,1.13083828,1.2
2024-01-10 12:00:00,1.12865696,1.6
2024-01-10 13:00:00,1.12202996,1.6
2024-01-10 14:00:00,1.11756829,0.9
2024-01-10 15:00:00,1.108691,1.0
2024-01-10 16:00:00,1.10868829,0.9
2024-01-10 17:00:00,1.11756829,0.9
2024-01-10 18:00:00,1.11535129,0.9
2024-01-10 19:00:00,1.11091129,0.9
2024-01-10 20:00:00,1.117571,1.0
2024-01-10 21:00:00,1.1175829700000002,1.3
2024-01-10 22:00:00,1.11980344,1.4
2024-01-10 23:00:00,1.12199412,0.8
2024-01-11 00:00:00,1.12204732,1.8
2024-01-11 01:00:00,1.11989767,2.3
2024-01-11 02:00:00,1.1265306700000002,2.3
2024-01-11 03:00:00,1.1178048900000002,2.9
2024-01-11 04:00:00,1.12234837,3.3
2024-01-11 05:00:00,1.11788868,3.2
2024-01-11 06:00:00,1.10880267,2.3
2024-01-11 07:00:00,1.1020800000000002,2.0
2024-01-11 08:00:00,1.11761013,1.7
2024-01-11 09:00:00,1.12424096,1.6
2024-01-11 10:00:00,1.12421331,1.1
2024-01-11 11:00:00,1.11534743,0.7
2024-01-11 12:00:00,1.11090464,0.4
2024-01-11 13:00:00,1.10645601,0.1
2024-01-11 14:00:00,1.10200001,0.1
2024-01-11 15:00:00,1.102,0.0
2024-01-11 16:00:00,1.09306399,-0.1
2024-01-11 17:00:00,1.0975353600000002,-0.4
2024-01-11 18:00:00,1.0975353600000002,-0.4
2024-01-11 19:00:00,1.09976836,-0.4
2024-01-11 20:00:00,1.10199936,-0.4
2024-01-11 21:00:00,1.10422557,-0.7
2024-01-11 22:00:00,1.10867371,-0.9
2024-01-11 23:00:00,1.11533888,-0.8
2024-01-12 00:00:00,1.1197747500000002,-0.5
2024-01-12 01:00:00,1.1286157300000002,-0.3
2024-01-12 02:00:00,1.13302399,-0.1
2024-01-12 03:00:00,1.1264090100000002,0.1
2024-01-12 04:00:00,1.1286232900000002,0.9
2024-01-12 05:00:00,1.137504,2.0
2024-01-12 06:00:00,1.1421139100000002,3.1
2024-01-12 07:00:00,1.13121404,3.4
2024-01-12 08:00:00,1.13565375,3.5
2024-01-12 09:00:00,1.12249553,3.7
2024-01-12 10:00:00,1.12455937,3.3
2024-01-12 11:00:00,1.11795404,3.4
2024-01-12 12:00:00,1.10496988,4.2
2024-01-12 13:00:00,1.10268921,4.1
2024-01-12 14:00:00,1.10469556,3.6
2024-01-12 15:00:00,1.1089248900000002,2.9
2024-01-12 16:00:00,1.11092597,1.3
2024-01-12 17:00:00,1.1131249900000002,-0.1
2024-01-12 18:00:00,1.11533888,-0.8
2024-01-12 19:00:00,1.1197626900000002,-1.1
2024-01-12 20:00:00,1.126329,-2.0
2024-01-12 21:00:00,1.1197074100000002,-1.9
