Date,Hour,Charging energy,Price,Energy Purchase from grid,Cost of energy supply from grid at DT,Cost of energy supply on route,EVs slow charging,EVs fast charging 50kW,EVs fast charging 150kW,EVs fast charging 350kW,EVs route charging,Slow Charging pertime,Fast Charging pertime 50kW,Fast Charging pertime 150kW,Fast Charging pertime 350kW,Route Charging pertime
1,0,0.0,0.02325168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0159638399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0,0.0010411199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.00092544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.0,0.0005784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.00092544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.0,0.0010411199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,0.0,0.00613104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,0.0,0.0234830399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,83.40342329093343,0.0358608,86.51807395325045,0.0,770.0108581839289,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,83.40342329093343
1,10,282.1247229132991,0.0512462399999999,292.66050094740575,0.0,2604.678458431911,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,282.1247229132991
1,11,480.29786270339474,0.0701020799999999,498.2342974101607,0.0,4434.2852469504305,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,480.29786270339474
1,12,637.3364003531113,0.0701020799999999,661.1373447646383,0.0,5884.12236840528,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,637.3364003531113
1,13,719.6338078914525,0.06570624,746.5080994724614,0.0,6643.922085304907,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,719.6338078914525
1,14,1016.0250821354131,0.20486928,1053.967927526362,0.0,9380.314554984627,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1016.0250821354131
1,15,1139.9009893720165,0.2789044799999999,1182.469905987569,0.0,10523.982163289367,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,1139.9009893720165
1,16,637.0421575812198,0.42269472,660.8321136734647,0.0,5881.405811693837,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,637.0421575812198
1,17,378.1733425522358,0.53247504,392.29599849817,0.0,3491.434386633712,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,378.1733425522358
1,18,116.79469525615808,0.62733264,121.1563228798324,15.209133410788642,873.3327674064385,3.0,0.0,0.0,0.0,7.0,22.200000000000003,0.0,0.0,0.0,94.59469525615806
1,19,270.3309298902354,0.62039184,280.42627581974756,136.4296930887766,637.7381084682838,34.0,0.0,0.0,0.0,4.0,201.25457746737862,0.0,0.0,0.0,69.0763524228568
1,20,275.84661954577007,0.5558424,286.14794558690227,149.7618884756464,283.5398627183598,34.0,0.0,0.0,0.0,2.0,245.1351108198714,0.0,0.0,0.0,30.71150872589874
