Hour,Date,Charging power,Price,Energy Purchase from grid,Cost of energy supply from grid at DT,Cost of energy supply on route,EVs slow charging,EVs fast charging 50kW,EVs fast charging 150kW,EVs fast charging 350kW,EVs route charging,Slow Charging Hourly,Fast Charging Hourly 50kW,Fast Charging Hourly 150kW,Fast Charging Hourly 350kW,Route Charging Hourly
0,66795,96124.73957990165,144.48397296,99714.4601451262,43045.42305851098,0.0,2957.0,0.0,0.0,0.0,0.0,96124.73957990165,0.0,0.0,0.0,0.0
1,66795,102198.80920145621,136.66574015999998,106015.36224213305,44625.83040382501,0.0,3154.0,0.0,0.0,0.0,0.0,102198.80920145621,0.0,0.0,0.0,0.0
2,66795,103617.30487146012,133.8487008,107486.83077951793,43517.15445660133,0.0,3186.0,0.0,0.0,0.0,0.0,103617.30487146012,0.0,0.0,0.0,0.0
3,66795,102727.28234305521,135.64463279999998,106563.57089528549,45007.57295630557,0.0,3191.0,0.0,0.0,0.0,0.0,102727.28234305521,0.0,0.0,0.0,0.0
4,66795,90645.41579998765,149.9635032,94030.5143153399,42608.64087707165,0.0,2856.0,0.0,0.0,0.0,0.0,90645.41579998765,0.0,0.0,0.0,0.0
5,66795,71856.99771478074,179.66445887999998,74540.45406097587,37562.44026679658,0.0,2324.0,0.0,0.0,0.0,0.0,71856.99771478074,0.0,0.0,0.0,0.0
6,66795,51874.259494390455,240.07405871999998,53811.47250470853,32544.305139443015,9.118083588830174,1731.0,0.0,0.0,0.0,1.0,51873.271872752295,0.0,0.0,0.0,0.9876216381609312
7,66795,34398.64210640627,287.56324367999997,35683.238699591566,23938.532044770254,96.74141996105537,1227.0,0.0,0.0,0.0,6.0,34388.163597547566,0.0,0.0,0.0,10.478508858703073
8,66795,32450.7111587481,289.3897152,33662.563442728715,23379.306151884448,290.55797636055604,1279.0,0.0,0.0,0.0,10.0,32419.239485802984,0.0,0.0,0.0,31.4716729451209
9,66795,34357.45581547489,271.45977792,35640.51433140549,22699.25666116716,765.7755751318102,1225.0,0.0,0.0,0.0,27.0,34274.511135202185,0.0,0.0,0.0,82.94468027270393
10,66795,12773.830100712159,252.69416832,13250.861100323817,8631.82666675392,1132.6893544086838,371.0,0.0,0.0,0.0,32.0,12651.143298729015,0.0,0.0,0.0,122.68680198314281
11,66795,532.3203478512611,234.90628608,552.1995309660385,145.48623465935492,838.9690533788058,12.0,0.0,0.0,0.0,28.0,441.44774476618596,0.0,0.0,0.0,90.87260308507513
12,66795,42.67671284529917,218.1701664,44.270449009646455,0.0,394.0069961858534,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,42.67671284529917
13,66795,16.498103696881167,210.22387584,17.114215453196234,0.0,152.31651753344647,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,16.498103696881167
14,66795,33.50622978758851,217.25409648,34.75749977965613,0.0,309.34174803893956,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,33.50622978758851
15,66795,21.35347632193334,236.70372192,22.150909047648693,0.0,197.14309052407336,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,21.35347632193334
16,66795,14.533352752190883,271.25618112,15.076092066588055,0.0,134.17721939263367,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,14.533352752190883
17,66795,34.81044813514835,299.26693632,36.11042337670991,0.0,321.3827680527182,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,34.81044813514835
18,66795,13853.103311332236,303.64588704,14370.43911963925,9378.754906274047,2632.214694298948,413.0,0.0,0.0,0.0,15.0,13567.996011859854,0.0,0.0,0.0,285.1072994723804
19,66795,32198.664185936075,270.97264944,33401.103927243654,22663.190570733732,1446.051360683703,1029.0,0.0,0.0,0.0,7.0,32042.0357014755,0.0,0.0,0.0,156.62848446057183
20,66795,49928.27469028105,232.63872672,51792.816068798966,32818.050134973615,568.4971251857368,1571.0,0.0,0.0,0.0,1.0,49866.69814687846,0.0,0.0,0.0,61.57654254820789
21,66795,63784.18431257942,199.51919568,66166.16629935875,37300.97832669074,19.079644672356128,2020.0,0.0,0.0,0.0,1.0,63782.11770837237,0.0,0.0,0.0,2.066605058832188
22,66795,84631.66493642906,169.26135648,87792.18354401356,42884.32438165321,0.0,2589.0,0.0,0.0,0.0,0.0,84631.66493557468,0.0,0.0,0.0,0.0
23,66795,89921.57794349694,153.92519615999998,93279.64516960706,43582.42588444965,-7.841760244146472e-06,2769.0,0.0,0.0,0.0,0.0,89921.57794434874,0.0,0.0,0.0,0.0
