Hour,Date,Charging energy,Price,Energy Purchase from grid,Cost of energy supply from grid at DT,Cost of energy supply on route,EVs slow charging,EVs fast charging 50kW,EVs fast charging 150kW,EVs fast charging 350kW,EVs route charging,Slow Charging pertime,Fast Charging pertime 50kW,Fast Charging pertime 150kW,Fast Charging pertime 350kW,Route Charging pertime
0,365,49.308266836897545,1.5107807999999998,51.14965439512198,78.96896934726438,0.0,8.0,0.0,0.0,0.0,0.0,49.308266836897545,0.0,0.0,0.0,0.0
1,365,49.30826683689755,1.37103936,51.14965439512195,71.8212429865877,0.0,8.0,0.0,0.0,0.0,0.0,49.30826683689755,0.0,0.0,0.0,0.0
2,365,49.308266836897545,1.35125808,51.14965439512195,70.80943735109456,0.0,8.0,0.0,0.0,0.0,0.0,49.308266836897545,0.0,0.0,0.0,0.0
3,365,49.308266836897545,1.3603968,51.14965439512196,71.27687972070837,0.0,8.0,0.0,0.0,0.0,0.0,49.308266836897545,0.0,0.0,0.0,0.0
4,365,49.308266836897545,1.41603888,51.14965439512195,74.1229528825341,0.0,8.0,0.0,0.0,0.0,0.0,49.308266836897545,0.0,0.0,0.0,0.0
5,365,49.30826683689755,1.58990592,51.14965439512196,83.01619188923692,0.0,8.0,0.0,0.0,0.0,0.0,49.30826683689755,0.0,0.0,0.0,0.0
6,365,49.308266836897545,2.33581056,51.14965439512195,121.1689564369548,0.0,8.0,0.0,0.0,0.0,0.0,49.308266836897545,0.0,0.0,0.0,0.0
7,365,77.01426982896713,2.53940736,79.89032139934392,129.73709015932891,255.79193633757555,8.0,0.0,0.0,0.0,1.0,49.30826683689755,0.0,0.0,0.0,27.70600299206998
8,365,87.69954870497227,3.840576,90.97463558607136,198.1371886386784,390.6890386414496,8.0,0.0,0.0,0.0,2.0,49.308266836897545,0.0,0.0,0.0,42.31732957869183
9,365,105.12742798496508,3.0290808,109.05334853212176,133.43487954291774,923.9193976039924,7.0,0.0,0.0,0.0,4.0,49.30826683689704,0.0,0.0,0.0,100.07396621238746
10,365,244.24276138037052,2.89072752,253.36386035308172,28.228705530413723,2118.299352993048,4.0,0.0,0.0,0.0,11.0,26.41659751037283,0.0,0.0,0.0,229.4427613803706
11,365,279.25025858219146,2.58359712,289.67869147530234,9.040847136929584,2578.140354130191,1.0,0.0,0.0,0.0,14.0,7.4,0.0,0.0,0.0,279.25025858219146
12,365,319.04894283381344,2.4767088,330.96363364503475,0.0,2945.5763394408086,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,319.04894283381344
13,365,366.8832970108408,2.45681184,380.5843329987976,0.0,3387.200563689298,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,366.8832970108408
14,365,309.30654367611373,2.45981952,320.8574104524002,0.0,2855.6309530263616,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,309.30654367611373
15,365,330.93496178096507,2.62524192,343.2935288184285,0.0,3055.312406484014,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,330.93496178096507
16,365,387.2602808561466,3.03926064,401.7222830457953,0.0,3575.328319107578,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,387.2602808561466
17,365,256.35538420815584,3.00606048,265.9288217926928,0.0,2366.766513954966,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,256.35538420815584
18,365,189.4485244081004,2.9909064,196.5233655685689,64.66629341078928,1749.0579535602628,4.0,0.0,0.0,0.0,11.0,29.6,0.0,0.0,0.0,189.4485244081004
19,365,140.4211783993019,2.38231392,145.665122820853,113.4354478662558,889.0409653801123,8.0,0.0,0.0,0.0,6.0,49.308266836897445,0.0,0.0,0.0,96.2961225422953
20,365,83.64744972436945,1.91936256,86.77121340702278,96.9566250893646,317.0318752059176,8.0,0.0,0.0,0.0,3.0,49.30826683689755,0.0,0.0,0.0,34.33918288747242
21,365,64.44126244290749,1.7982455999999996,66.84778261712438,93.6726945180272,139.71334117582168,8.0,0.0,0.0,0.0,2.0,49.308266836897445,0.0,0.0,0.0,15.132995606010349
22,365,52.14124243718109,1.6330545599999997,54.08842576471121,85.22322991285645,27.36457498674477,8.0,0.0,0.0,0.0,1.0,49.308266836897545,0.0,0.0,0.0,2.963983178339546
23,365,49.308266836897545,1.469136,51.14965439512195,76.08569788796298,0.0,8.0,0.0,0.0,0.0,0.0,49.308266836897545,0.0,0.0,0.0,0.0
