Hour,Date,Charging energy,Price,Energy Purchase from grid,Cost of energy supply from grid at DT,Cost of energy supply on route,EVs slow charging,EVs fast charging 50kW,EVs fast charging 150kW,EVs fast charging 350kW,EVs route charging,Slow Charging pertime,Fast Charging pertime 50kW,Fast Charging pertime 150kW,Fast Charging pertime 350kW,Route Charging pertime
0,66795,12395.601604079468,144.48397296,12858.507888049478,5763.249011421714,0.0,1806.0,0.0,0.0,0.0,0.0,12395.601604079468,0.0,0.0,0.0,0.0
1,66795,12349.466389208754,136.66574015999998,12810.64978133713,5606.751261920888,0.0,1793.0,0.0,0.0,0.0,0.0,12349.466389208756,0.0,0.0,0.0,0.0
2,66795,12163.892444327255,133.8487008,12618.1456891364,5358.719887500609,0.0,1774.0,0.0,0.0,0.0,0.0,12163.892444327255,0.0,0.0,0.0,0.0
3,66795,12195.31321129687,135.64463279999998,12650.739845743881,5422.501108495362,0.0,1782.0,0.0,0.0,0.0,0.0,12195.31321129687,0.0,0.0,0.0,0.0
4,66795,12418.291061839427,149.9635032,12882.044669958179,6097.958168368172,61.0169942345525,1802.0,0.0,0.0,0.0,2.0,12411.682030104357,0.0,0.0,0.0,6.609031735068382
5,66795,13620.100910524832,179.66445887999998,14128.735384362095,7671.907129592526,83.17235678214496,2016.0,0.0,0.0,0.0,2.0,13611.092129408205,0.0,0.0,0.0,9.008781116627834
6,66795,13228.755479497104,240.07405871999998,13722.775393669463,10000.161373202644,208.67061925732082,1935.0,0.0,0.0,0.0,9.0,13206.153403433727,0.0,0.0,0.0,22.60207606337722
7,66795,8706.682587117326,287.56324367999997,9031.828409872916,7051.913094234966,662.4576878757564,1230.0,0.0,0.0,0.0,20.0,8634.928743172131,0.0,0.0,0.0,71.75384394519429
8,66795,4585.669684875177,289.3897152,4756.918760244043,2614.6609000970657,491.1849553904391,668.0,0.0,0.0,0.0,20.0,4532.467179594684,0.0,0.0,0.0,53.202505280492495
9,66795,3221.358263743372,271.45977792,3341.657949941313,1864.014419812744,469.3742887339914,470.0,0.0,0.0,0.0,14.0,3170.5181722445445,0.0,0.0,0.0,50.84009149882783
10,66795,1176.8347562614927,252.69416832,1220.7829421799977,736.7163250428068,923.0068022595497,157.0,0.0,0.0,0.0,26.0,1076.8596374549527,0.0,0.0,0.0,99.97511880653997
11,66795,82.03450306331861,234.90628608,85.09803222335957,0.0,757.3724867879001,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,82.03450306331861
12,66795,111.27840774384303,218.1701664,115.43403292929776,0.0,1027.36289307075,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,111.27840774384303
13,66795,138.10069772016308,210.22387584,143.25798518689118,0.0,1274.9960681633315,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,138.10069772016308
14,66795,75.24979198230429,217.25409648,78.05995018911234,0.0,694.7335566830999,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,75.24979198230429
15,66795,8809.192226978776,236.70372192,9138.166210558878,7262.396776441711,1131.8670137285037,1240.0,0.0,0.0,0.0,29.0,8686.594496503014,0.0,0.0,0.0,122.59773047576152
16,66795,113.44419913159732,271.25618112,117.68070449335896,38.520253805216726,572.3402764373667,7.0,0.0,0.0,0.0,18.0,51.45138716692075,0.0,0.0,0.0,61.99281196467656
17,66795,1206.0038952900502,299.26693632,1251.0413851556755,1219.101454779566,690.6520874725297,160.0,0.0,0.0,0.0,24.0,1131.1961860402166,0.0,0.0,0.0,74.80770924983355
18,66795,7721.006307709354,303.64588704,8009.342642852191,7702.163592951734,481.73157697176055,1081.0,0.0,0.0,0.0,19.0,7668.82774139466,0.0,0.0,0.0,52.17856631469406
19,66795,13640.10320095333,270.97264944,14149.484648292104,11407.16273674618,190.17929983397678,2005.0,0.0,0.0,0.0,7.0,13619.504004881424,0.0,0.0,0.0,20.5991960719049
20,66795,13237.313811455455,232.63872672,13731.653331385578,9539.41166727809,73.54828324881738,1963.0,0.0,0.0,0.0,3.0,13229.347458078842,0.0,0.0,0.0,7.966353376613478
21,66795,12598.105289210082,199.51919568,13068.573951462984,8112.613943197751,0.0,1838.0,0.0,0.0,0.0,0.0,12598.105289210082,0.0,0.0,0.0,0.0
22,66795,12370.505525571378,169.26135648,12832.474611588808,6853.6304096671265,0.0,1816.0,0.0,0.0,0.0,0.0,12370.50552557138,0.0,0.0,0.0,0.0
23,66795,12420.701025079568,153.92519615999998,12884.544631825507,6233.649100944401,0.0,1824.0,0.0,0.0,0.0,0.0,12420.701025079568,0.0,0.0,0.0,0.0
