Hour,Date,Charging power,Price,Energy Purchase from grid,Cost of energy supply from grid at DT,Cost of energy supply on route,EVs slow charging,EVs fast charging 50kW,EVs fast charging 150kW,EVs fast charging 350kW,EVs route charging,Slow Charging Hourly,Fast Charging Hourly 50kW,Fast Charging Hourly 150kW,Fast Charging Hourly 350kW,Route Charging Hourly
0,183.0,279.29351536591423,0.39584650126027393,289.7235636575874,121.8742732281704,0.0,10.29041095890411,0.0,0.0,0.0,0.0,279.2935153659142,0.0,0.0,0.0,0.0
1,183.0,305.0310218714873,0.37442668536986295,316.4222218583894,132.20260183214234,0.0,10.835616438356164,0.0,0.0,0.0,0.0,305.03102187148727,0.0,0.0,0.0,0.0
2,183.0,318.56023244015194,0.36670876931506846,330.4566726557593,136.20886497787689,0.0,10.865753424657534,0.0,0.0,0.0,0.0,318.5602324401518,0.0,0.0,0.0,0.0
3,183.0,296.0075313607396,0.37162913095890404,307.06175452358883,127.58575081876144,0.0,10.517808219178082,0.0,0.0,0.0,0.0,296.00753136073956,0.0,0.0,0.0,0.0
4,183.0,267.3390897798864,0.4108589128767123,277.3227072405461,125.34865174533168,0.0,9.802739726027397,0.0,0.0,0.0,0.0,267.33908977988636,0.0,0.0,0.0,0.0
5,183.0,197.87315176454234,0.4922313941917808,205.26260556487796,105.92295206252743,0.0,7.994520547945205,0.0,0.0,0.0,0.0,197.8731517645423,0.0,0.0,0.0,0.0
6,183.0,122.38377681610015,0.6577371471780822,126.95412532790473,74.0322334342666,0.0,5.791780821917809,0.0,0.0,0.0,0.0,122.38377681610012,0.0,0.0,0.0,0.0
7,183.0,72.09641182089695,0.7878445032328766,74.78880894283917,50.102498887295376,0.21374585253784326,4.06027397260274,0.0,0.0,0.0,0.005479452054794521,72.07326002293665,0.0,0.0,0.0,0.02315179796027875
8,183.0,62.93098598581675,0.7928485347945206,65.28110579441571,44.4184875105684,0.7522968930831039,3.8876712328767122,0.0,0.0,0.0,0.030136986301369864,62.84950124368952,0.0,0.0,0.0,0.08148474212720361
9,183.0,76.9451340383231,0.7437254189589042,79.8186037741941,51.17256872488848,1.1822022745734562,3.526027397260274,0.0,0.0,0.0,0.0410958904109589,76.81708426386366,0.0,0.0,0.0,0.12804977445941704
10,183.0,32.29639592474744,0.6923127899178082,33.502485399115606,21.08285142442156,2.1356560185231785,1.0383561643835617,0.0,0.0,0.0,0.07671232876712329,32.06507318296582,0.0,0.0,0.0,0.2313227417816117
11,183.0,1.208615223902583,0.6435788659726027,1.2537502322640903,0.3547664797573968,0.8424812051092764,0.038356164383561646,0.0,0.0,0.0,0.038356164383561646,1.1173622034840038,0.0,0.0,0.0,0.09125302041857777
12,183.0,0.12831916726401962,0.5977264832876712,0.13311116936101622,0.0,1.1846894073130443,0.0027397260273972603,0.0,0.0,0.0,0.0410958904109589,0.0,0.0,0.0,0.0,0.12831916726401962
13,183.0,0.17158450698180136,0.5759558242191781,0.177992227159545,0.0,1.5841308217199506,0.0027397260273972603,0.0,0.0,0.0,0.043835616438356165,0.0,0.0,0.0,0.0,0.17158450698180136
14,183.0,0.09620653305396266,0.5952167026849314,0.09979930814726416,0.0,0.8882138425106512,0.0027397260273972603,0.0,0.0,0.0,0.030136986301369864,0.0,0.0,0.0,0.0,0.09620653305396266
15,183.0,0.09308275890717728,0.6485033477260274,0.09655887853441629,0.0,0.8593740189563048,0.0027397260273972603,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.09308275890717728
16,183.0,0.14862370534353747,0.7431676195068493,0.15417396819869034,0.0,1.372148316968344,0.0027397260273972603,0.0,0.0,0.0,0.024657534246575342,0.0,0.0,0.0,0.0,0.14862370534353747
17,183.0,0.13255797103618383,0.8199094145753425,0.13750826870973426,0.0,1.2238235915166351,0.00821917808219178,0.0,0.0,0.0,0.038356164383561646,0.0,0.0,0.0,0.0,0.13255797103618383
18,183.0,34.753002661522345,0.8319065398356165,36.050832636433974,23.746964677303843,1.4424791746208123,1.104109589041096,0.0,0.0,0.0,0.04657534246575343,34.5967610969903,0.0,0.0,0.0,0.15624156453196214
19,183.0,71.54819294943874,0.7423908203835616,74.22011716746758,52.28327099999247,0.6507868548806953,2.8657534246575342,0.0,0.0,0.0,0.019178082191780823,71.47770322717969,0.0,0.0,0.0,0.07048972225898766
20,183.0,118.50531420172265,0.6373663745753424,122.93082386070816,78.61803746022375,0.484180018632847,4.6657534246575345,0.0,0.0,0.0,0.00821917808219178,118.45287043341224,0.0,0.0,0.0,0.052443768310344314
21,183.0,163.48185676756603,0.546627933369863,169.58698834809755,93.01033960032288,0.0,6.589041095890411,0.0,0.0,0.0,0.0,163.48185676756594,0.0,0.0,0.0,0.0
22,183.0,244.54639488947876,0.4637297437808219,253.67883287290334,122.9222576343826,0.0,8.898630136986302,0.0,0.0,0.0,0.0,244.54639488947868,0.0,0.0,0.0,0.0
23,183.0,260.5927949099602,0.4217128661917808,270.3244760476766,125.73396757595546,0.0,9.734246575342466,0.0,0.0,0.0,0.0,260.5927949099601,0.0,0.0,0.0,0.0
