Hour,Date,Charging power,Price,Energy Purchase from grid,Cost of energy supply from grid at DT,Cost of energy supply on route,EVs slow charging,EVs fast charging 50kW,EVs fast charging 150kW,EVs fast charging 350kW,EVs route charging,Slow Charging Hourly,Fast Charging Hourly 50kW,Fast Charging Hourly 150kW,Fast Charging Hourly 350kW,Route Charging Hourly
0,365,596.7313954019533,1.5107807999999998,619.0159703339766,603.5994725107324,0.0,21.0,0.0,0.0,0.0,0.0,596.7313954019533,0.0,0.0,0.0,0.0
1,365,596.731395401958,1.37103936,619.0159703339814,633.2720109164524,0.0,21.0,0.0,0.0,0.0,0.0,596.731395401958,0.0,0.0,0.0,0.0
2,365,596.7313954019578,1.35125808,619.0159703339812,639.6432626370829,0.0,20.0,0.0,0.0,0.0,0.0,596.7313954019567,0.0,0.0,0.0,0.0
3,365,596.7313954019575,1.3603968,619.0159703339808,653.914472639486,0.0,19.0,0.0,0.0,0.0,0.0,596.7313954019575,0.0,0.0,0.0,0.0
4,365,596.7313954019556,1.41603888,619.015970333979,661.8802016518925,0.0,19.0,0.0,0.0,0.0,0.0,596.7313954019556,0.0,0.0,0.0,0.0
5,365,585.7304341597824,1.58990592,607.6041848130524,760.9006775282811,0.0,17.0,0.0,0.0,0.0,0.0,585.7304341597825,0.0,0.0,0.0,0.0
6,365,572.9495890342225,2.33581056,594.3460467159985,479.8293372406701,0.0,16.0,0.0,0.0,0.0,0.0,572.9495890342225,0.0,0.0,0.0,0.0
7,365,471.3258663454383,2.53940736,488.9272472463054,602.5990061655922,59.04504410247174,14.0,0.0,0.0,0.0,1.0,471.3258663454383,0.0,0.0,0.0,6.395440731998062
8,365,483.6677407898474,3.840576,501.73002156623176,571.1529347751033,55.781312505086255,15.0,0.0,0.0,0.0,2.0,483.6677407898474,0.0,0.0,0.0,6.041930927517207
9,365,462.9777275647468,3.0290808,480.267352245588,709.4486543732263,99.60241127865974,12.0,0.0,0.0,0.0,2.0,462.9777275647467,0.0,0.0,0.0,10.788396008160449
10,365,228.38961763462103,2.89072752,236.9186904923455,333.5521786043751,113.32659721454772,6.0,0.0,0.0,0.0,4.0,228.38961763462103,0.0,0.0,0.0,12.27492581065438
11,365,55.50876793812185,2.58359712,57.58170947937952,42.67554017367079,65.14320358677006,2.0,0.0,0.0,0.0,1.0,55.50876793812185,0.0,0.0,0.0,7.055960478387227
12,365,10.110100259470642,2.4767088,10.487655870820168,0.0,93.3401372502995,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.110100259470642
13,365,11.533816894037589,2.45681184,11.964540346512022,0.0,106.484409083957,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.533816894037589
14,365,11.051632421731526,2.45981952,11.46434898519868,0.0,102.03270596826825,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.051632421731526
15,365,13.690668027452508,2.62524192,14.201937787813804,0.0,126.39724631154286,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.690668027452508
16,365,16.869254235020843,3.03926064,17.499226384876394,0.0,155.7431148253999,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.869254235020843
17,365,9.5659651786915,3.00606048,9.923200392833506,0.0,88.31648349621821,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.5659651786915
18,365,273.2377902176946,2.9909064,283.4416910971936,296.7734277262883,114.04989142410504,6.0,0.0,0.0,0.0,1.0,273.23779021769445,0.0,0.0,0.0,12.353269138521036
19,365,323.5498162521424,2.38231392,335.6325894731768,486.5519570814984,64.21686604887066,11.0,0.0,0.0,0.0,1.0,323.5498162521416,0.0,0.0,0.0,6.9556245922596975
20,365,532.8365077800062,1.91936256,552.7349665767699,587.7769430032271,151.43901838879734,19.0,0.0,0.0,0.0,1.0,532.8365077800061,0.0,0.0,0.0,16.40305772211243
21,365,596.7313954019583,1.7982455999999996,619.0159703339816,550.6708552416069,0.0,20.0,0.0,0.0,0.0,0.0,596.7313954019583,0.0,0.0,0.0,0.0
22,365,596.7313954019577,1.6330545599999997,619.015970333981,613.9782774948044,0.0,21.0,0.0,0.0,0.0,0.0,596.7313954019578,0.0,0.0,0.0,0.0
23,365,596.7313954019565,1.469136,619.0159703339798,630.3243388222479,0.0,21.0,0.0,0.0,0.0,0.0,596.7313954019563,0.0,0.0,0.0,0.0
